run_id,model,case_number,status,wall_seconds,preprocess_seconds,inference_seconds,reconstruction_seconds,export_seconds,metrics_seconds,mass_probability_max,native_voxels,predicted_mass_voxels,mass_score_definition
dynunet-control-seed0,dynunet,1,completed,4.106401979923248,0.052105553448200226,0.9503841437399387,1.466238595545292,1.6337976567447186,,0.9999919533729553,28835840.0,5179.0,maximum_native_class2_probability
dynunet-control-seed0,dynunet,2,completed,6.897206280380487,0.05297262594103813,1.038352869451046,1.419748730957508,1.4211904108524323,,1.0,26476544.0,6820.0,maximum_native_class2_probability
dynunet-control-seed0,dynunet,3,completed,8.670967120677233,0.053306061774492264,1.0283662639558315,1.3181244656443596,1.4037456288933754,,0.9712963700294495,25952256.0,2429.0,maximum_native_class2_probability
dynunet-control-seed0,dynunet,4,completed,6.707388915121555,0.035884708166122437,0.629970695823431,0.565188255161047,0.5785203091800213,,0.7500047087669373,10747904.0,1806.0,maximum_native_class2_probability
dynunet-control-seed0,dynunet,5,completed,6.219657339155674,0.04126144200563431,0.526358138769865,1.1754934750497341,1.176874529570341,,1.0,22282240.0,2334.0,maximum_native_class2_probability
dynunet-control-seed0,dynunet,6,completed,7.352850314229727,0.04505956545472145,0.5465215295553207,2.2323000244796276,1.6228491067886353,,0.7298154234886169,22020096.0,37.0,maximum_native_class2_probability
dynunet-control-seed0,dynunet,7,completed,9.14622937142849,0.08087775111198425,1.0134012326598167,1.378272656351328,1.5586427710950375,,0.48601359128952026,27000832.0,47.0,maximum_native_class2_probability
dynunet-control-seed0,dynunet,8,completed,10.308463297784328,0.04758911207318306,0.5673888735473156,2.218424316495657,1.2978832721710205,,0.4917614758014679,24379392.0,123.0,maximum_native_class2_probability
dynunet-control-seed0,dynunet,9,completed,10.586211580783129,0.07680799439549446,1.9924920611083508,2.7209527753293514,1.41042847558856,,0.856738269329071,25690112.0,2174.0,maximum_native_class2_probability
dynunet-control-seed0,dynunet,10,completed,10.251049317419529,0.048771459609270096,0.573379073292017,1.2672440335154533,1.3348189555108547,,0.9999925494194031,24117248.0,1219.0,maximum_native_class2_probability
dynunet-control-seed0,dynunet,11,completed,9.056352835148573,0.05188905447721481,0.8201710730791092,1.14329519495368,1.1792171001434326,,0.284762442111969,22282240.0,0.0,maximum_native_class2_probability
dynunet-control-seed0,dynunet,12,completed,7.371377673000097,0.05325593799352646,0.8589860834181309,1.2988684698939323,1.1465145237743855,,0.9999749064445496,21495808.0,4185.0,maximum_native_class2_probability
dynunet-control-seed0,dynunet,13,completed,6.75248247385025,0.038589734584093094,0.523712981492281,1.3423130959272385,0.6424222514033318,,0.999983012676239,11534336.0,1399.0,maximum_native_class2_probability
dynunet-control-seed0,dynunet,14,completed,6.894149325788021,0.03415820375084877,0.5485740043222904,1.6031548529863358,0.8600677885115147,,1.0,15466496.0,8349.0,maximum_native_class2_probability
dynunet-control-seed0,dynunet,15,completed,6.8397995457053185,0.04858100041747093,0.5988761149346828,1.1916642859578133,1.1994582451879978,,0.7500216960906982,22282240.0,5859.0,maximum_native_class2_probability
dynunet-control-seed0,dynunet,16,completed,9.237156193703413,0.050337255001068115,0.5562001094222069,2.8148334845900536,1.5661353282630444,,0.4989856481552124,24903680.0,315.0,maximum_native_class2_probability
dynunet-control-seed0,dynunet,17,completed,12.713402923196554,0.06063375622034073,1.0389066562056541,4.209802508354187,1.7292539440095425,,1.0,29622272.0,4920.0,maximum_native_class2_probability
dynunet-control-seed0,dynunet,18,completed,13.268663343042135,0.08368554711341858,1.5246666856110096,1.40792116522789,1.5378533452749252,,0.9999963045120239,27262976.0,14898.0,maximum_native_class2_probability
dynunet-control-seed0,dynunet,19,completed,11.914706245064735,0.0613756999373436,0.8413165807723999,1.2819728665053844,1.7452846728265285,,1.0,24379392.0,6719.0,maximum_native_class2_probability
dynunet-control-seed0,dynunet,20,completed,9.422493282705545,0.07006940990686417,1.4966747350990772,1.4814787320792675,1.9664210192859173,,0.9999983310699463,28573696.0,1624.0,maximum_native_class2_probability
dynunet-control-seed0,dynunet,21,completed,9.401420872658491,0.0670742578804493,0.8671460822224617,1.239222627133131,1.686768725514412,,1.0,23330816.0,3719.0,maximum_native_class2_probability
dynunet-control-seed0,dynunet,22,completed,8.780472084879875,0.055862873792648315,0.8119804002344608,1.1317453607916832,1.2745725698769093,,1.0,21233664.0,2290.0,maximum_native_class2_probability
dynunet-control-seed0,dynunet,23,completed,9.972165491431952,0.06181265786290169,0.659422941505909,2.091571159660816,2.547607082873583,,0.9991538524627686,42205184.0,1042.0,maximum_native_class2_probability
dynunet-control-seed0,dynunet,24,completed,9.475711490958929,0.05476127564907074,0.8384870029985905,1.1861062720417976,1.2441556379199028,,0.9999452233314514,23330816.0,9086.0,maximum_native_class2_probability
dynunet-control-seed0,dynunet,25,completed,10.242635235190392,0.05305439606308937,1.065471425652504,1.3530770316720009,1.817655023187399,,1.0,25690112.0,12071.0,maximum_native_class2_probability
dynunet-control-seed0,dynunet,26,completed,8.618547584861517,0.06690320745110512,1.4803585857152939,1.4686748683452606,1.5476223342120647,,0.9997454285621643,28049408.0,4137.0,maximum_native_class2_probability
dynunet-control-seed0,dynunet,27,completed,9.48578655347228,0.05985734984278679,1.0754361227154732,1.6947188675403595,1.6028799265623093,,1.0,27525120.0,4576.0,maximum_native_class2_probability
dynunet-control-seed0,dynunet,28,completed,8.776146534830332,0.04731224104762077,0.5670628733932972,1.143178567290306,1.317286778241396,,0.37965482473373413,22806528.0,0.0,maximum_native_class2_probability
