run_id,model,case_number,status,wall_seconds,preprocess_seconds,inference_seconds,reconstruction_seconds,export_seconds,metrics_seconds,mass_probability_max,native_voxels,predicted_mass_voxels,mass_score_definition
dynunet-control10k-seed0,dynunet,1,completed,4.079685568809509,0.0539821982383728,0.9031887426972389,1.495228085666895,1.6239963062107563,,0.9999919533729553,28835840.0,5179.0,maximum_native_class2_probability
dynunet-control10k-seed0,dynunet,2,completed,6.793828312307596,0.04934832081198692,1.0058617405593395,1.3256611861288548,1.4407052993774414,,1.0,26476544.0,6820.0,maximum_native_class2_probability
dynunet-control10k-seed0,dynunet,3,completed,8.638750195503235,0.08098307996988297,0.998084306716919,1.3477829433977604,1.3981148526072502,,0.9712963700294495,25952256.0,2429.0,maximum_native_class2_probability
dynunet-control10k-seed0,dynunet,4,completed,6.797840680927038,0.03541182354092598,0.6027193702757359,0.6956474557518959,0.5888844206929207,,0.7500047087669373,10747904.0,1806.0,maximum_native_class2_probability
dynunet-control10k-seed0,dynunet,5,completed,6.354787725955248,0.0414244681596756,0.5570599287748337,1.1199250668287277,1.2045594565570354,,1.0,22282240.0,2334.0,maximum_native_class2_probability
dynunet-control10k-seed0,dynunet,6,completed,6.063197299838066,0.04308408871293068,0.5787221863865852,1.1239221543073654,1.3302338980138302,,0.7298154234886169,22020096.0,37.0,maximum_native_class2_probability
dynunet-control10k-seed0,dynunet,7,completed,7.699128355830908,0.07405228912830353,1.0367470160126686,1.362847313284874,1.5572832375764847,,0.48601359128952026,27000832.0,47.0,maximum_native_class2_probability
dynunet-control10k-seed0,dynunet,8,completed,7.946547009050846,0.06650052592158318,0.5638746097683907,1.2424874342978,1.3289495073258877,,0.4917614758014679,24379392.0,123.0,maximum_native_class2_probability
dynunet-control10k-seed0,dynunet,9,completed,8.262567482888699,0.07526721432805061,2.0445021241903305,1.353527419269085,1.4165771640837193,,0.856738269329071,25690112.0,2174.0,maximum_native_class2_probability
dynunet-control10k-seed0,dynunet,10,completed,9.095037922263145,0.04896584153175354,0.5835223607718945,2.414844334125519,1.33839800208807,,0.9999925494194031,24117248.0,1219.0,maximum_native_class2_probability
